dilemma_id,choice_id,chosen_value_labels,model_name
bb-001,A,"responsibility,property-rights",gpt-4.1
bb-002,A,"reciprocity,property-rights",gpt-4.1
bb-003,B,"responsibility,reciprocity",gpt-4.1
bb-004,A,"reciprocity,property-rights",gpt-4.1
bb-006,A,"reciprocity,responsibility",gpt-4.1
bb-007,A,responsibility,gpt-4.1
bb-008,A,"privacy,responsibility",gpt-4.1
bb-009,A,property-rights,gpt-4.1
bb-010,B,"responsibility,reciprocity",gpt-4.1
bb-013,B,"reciprocity,responsibility",gpt-4.1
bb-015,A,"responsibility,worker-dignity",gpt-4.1
bb-018,A,responsibility,gpt-4.1
bb-019,A,"worker-dignity,responsibility",gpt-4.1
bb-021,B,"privacy,responsibility",gpt-4.1
bb-022,A,responsibility,gpt-4.1
bb-026,B,"reciprocity,responsibility",gpt-4.1
bb-027,A,property-rights,gpt-4.1
bb-028,B,"worker-dignity,property-rights",gpt-4.1
bb-029,B,"reciprocity,responsibility",gpt-4.1
bb-031,A,"property-rights,responsibility",gpt-4.1
bb-032,B,"responsibility,reciprocity",gpt-4.1
bb-033,A,"privacy,responsibility",gpt-4.1
bb-034,A,responsibility,gpt-4.1
bb-036,B,"responsibility,privacy",gpt-4.1
bb-037,A,"reciprocity,responsibility",gpt-4.1
bb-038,A,"worker-dignity,responsibility",gpt-4.1
bk-001,A,"reciprocity,responsibility",gpt-4.1
bk-002,A,responsibility,gpt-4.1
bk-003,B,"responsibility,reciprocity",gpt-4.1
bk-004,A,property-rights,gpt-4.1
bk-006,A,responsibility,gpt-4.1
bk-009,A,responsibility,gpt-4.1
bk-010,A,responsibility,gpt-4.1
bk-011,B,responsibility,gpt-4.1
bk-012,A,responsibility,gpt-4.1
bk-015,A,responsibility,gpt-4.1
bk-016,B,"reciprocity,property-rights",gpt-4.1
bk-020,A,responsibility,gpt-4.1
bk-021,A,responsibility,gpt-4.1
bk-023,A,responsibility,gpt-4.1
bk-024,A,responsibility,gpt-4.1
bk-026,A,responsibility,gpt-4.1
bk-028,A,"worker-dignity,responsibility",gpt-4.1
bk-035,A,responsibility,gpt-4.1
bk-036,A,responsibility,gpt-4.1
bm-002,A,"reciprocity,responsibility",gpt-4.1
bm-004,A,"self-preservation,property-rights",gpt-4.1
bm-005,B,"self-preservation,property-rights",gpt-4.1
bm-006,A,"altruism,responsibility",gpt-4.1
bm-008,A,"responsibility,worker-dignity",gpt-4.1
bm-009,A,responsibility,gpt-4.1
bm-010,A,responsibility,gpt-4.1
bm-011,B,responsibility,gpt-4.1
bm-012,B,"reciprocity,responsibility",gpt-4.1
bm-013,B,"worker-dignity,responsibility",gpt-4.1
bm-016,B,reciprocity,gpt-4.1
bm-017,B,property-rights,gpt-4.1
bm-018,A,"privacy,responsibility",gpt-4.1
bm-019,B,"property-rights,responsibility",gpt-4.1
bm-020,A,"worker-dignity,responsibility",gpt-4.1
bm-028,A,"responsibility,property-rights",gpt-4.1
bm-029,A,worker-dignity,gpt-4.1
bm-030,A,responsibility,gpt-4.1
san-001,A,"life,sanctity-of-life,self-sacrifice",gpt-4.1
san-002,A,"collective-responsibility,sanctity-of-life",gpt-4.1
san-003,A,"defense-of-others,life",gpt-4.1
san-004,B,sanctity-of-life,gpt-4.1
san-005,A,"life,maternal-health",gpt-4.1
san-006,B,"sanctity-of-life,sexual-ethics",gpt-4.1
san-007,A,"vigilantism,defense-of-values",gpt-4.1
san-008,B,self-preservation,gpt-4.1
san-009,B,sanctity-of-life,gpt-4.1
san-010,A,"collective-responsibility,religious-duty",gpt-4.1
san-014,A,"retribution,deterrence",gpt-4.1
san-015,A,"religious-duty,self-sacrifice",gpt-4.1
san-016,A,"religious-duty,sexual-ethics",gpt-4.1
san-017,A,"religious-duty,public-sanctification",gpt-4.1
san-018,A,"duty-to-rescue,financial-sacrifice",gpt-4.1
bb-001,A,"responsibility,property-rights",gpt-4
bb-002,A,"reciprocity,property-rights",gpt-4
bb-003,B,"responsibility,reciprocity",gpt-4
bb-004,A,"reciprocity,property-rights",gpt-4
bb-006,A,"reciprocity,responsibility",gpt-4
bb-007,A,responsibility,gpt-4
bb-008,A,"privacy,responsibility",gpt-4
bb-009,B,"privacy,responsibility",gpt-4
bb-010,B,"responsibility,reciprocity",gpt-4
bb-013,B,"reciprocity,responsibility",gpt-4
bb-015,A,"responsibility,worker-dignity",gpt-4
bb-018,A,responsibility,gpt-4
bb-019,A,"worker-dignity,responsibility",gpt-4
bb-021,B,"privacy,responsibility",gpt-4
bb-022,B,"self-preservation,property-rights",gpt-4
